	Threshold	Precision	Recall	f1_score
49.0	0.5842716097831726	0.9624060150375939	0.8727272727272727	0.9153754469606675
50.0	0.5847340226173401	0.9623115577889447	0.8724373576309795	0.915173237753883
51.0	0.5849409699440002	0.9622166246851386	0.8721461187214612	0.9149700598802395
52.0	0.5877459645271301	0.9621212121212122	0.8718535469107551	0.914765906362545
53.0	0.5882644653320312	0.9620253164556962	0.8715596330275229	0.914560770156438
54.0	0.5940096378326416	0.9619289340101523	0.871264367816092	0.9143546441495778
55.0	0.5971909761428833	0.9618320610687023	0.8689655172413793	0.9130434782608696
56.0	0.5979500412940979	0.9617346938775511	0.868663594470046	0.9128329297820824
57.0	0.6047359108924866	0.9616368286445013	0.8683602771362586	0.912621359223301
58.0	0.6085963845252991	0.9615384615384616	0.8680555555555556	0.9124087591240877
59.0	0.6117226481437683	0.961439588688946	0.8677494199535963	0.9121951219512197
60.0	0.6160075068473816	0.961340206185567	0.8674418604651163	0.9119804400977995
61.0	0.6193890571594238	0.9612403100775194	0.8671328671328671	0.911764705882353
62.0	0.6225997805595398	0.961139896373057	0.8648018648018648	0.9104294478527608
63.0	0.6238178014755249	0.961038961038961	0.8644859813084113	0.9102091020910209
64.0	0.6246376633644104	0.9609375	0.8641686182669789	0.9099876695437732
65.0	0.6287752985954285	0.9608355091383812	0.8658823529411764	0.9108910891089109
66.0	0.6289602518081665	0.9607329842931938	0.8655660377358491	0.9106699751861043
67.0	0.6308104395866394	0.9606299212598425	0.8652482269503546	0.9104477611940299
68.0	0.6333999633789062	0.9605263157894737	0.8649289099526066	0.9102244389027431
69.0	0.6407456994056702	0.9604221635883905	0.8646080760095012	0.9099999999999999
70.0	0.6427561640739441	0.9603174603174603	0.8642857142857143	0.9097744360902256
71.0	0.6444483995437622	0.9602122015915119	0.863961813842482	0.9095477386934674
72.0	0.6448876261711121	0.9601063829787234	0.8636363636363636	0.9093198992443325
73.0	0.6546762585639954	0.96	0.8633093525179856	0.9090909090909091
74.0	0.6571562886238098	0.9598930481283422	0.8629807692307693	0.9088607594936708
75.0	0.6579397320747375	0.9597855227882037	0.8626506024096385	0.9086294416243655
76.0	0.6604577302932739	0.9596774193548387	0.8623188405797102	0.9083969465648856
77.0	0.6629935503005981	0.9595687331536388	0.8619854721549637	0.9081632653061225
78.0	0.666246235370636	0.9594594594594594	0.8616504854368932	0.907928388746803
79.0	0.6680388450622559	0.959349593495935	0.8613138686131386	0.9076923076923077
80.0	0.6704797148704529	0.9592391304347826	0.8609756097560975	0.9074550128534704
81.0	0.6710768938064575	0.9591280653950953	0.8606356968215159	0.9072164948453608
82.0	0.6716077327728271	0.9590163934426229	0.8581907090464548	0.9058064516129032
83.0	0.6738400459289551	0.958904109589041	0.8557457212713936	0.9043927648578811
84.0	0.6801497340202332	0.9587912087912088	0.8553921568627451	0.9041450777202072
85.0	0.6815752983093262	0.9586776859504132	0.8529411764705882	0.9027237354085602
86.0	0.682020366191864	0.9585635359116023	0.8525798525798526	0.9024707412223667
87.0	0.6849794983863831	0.961218836565097	0.854679802955665	0.9048239895697523
88.0	0.6869004964828491	0.9611111111111111	0.854320987654321	0.9045751633986927
